FlightNumber,AircraftType,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,FlightDuration,FuelConsumed (kg),PayloadWeight (kg),PassengerCount,TaxiOutTime (min),TaxiInTime (min),ExpectedFuel (kg),FuelDifference (kg),RouteDistance (km),AltitudeLevel (ft),CruiseSpeed (km/h),FuelPerPassenger (kg),FuelPerKm (kg/km),EmissionEstimate (kg CO₂)
SV6070,A320,DXB,IST,2025-09-03 15:25,2025-09-03 19:16,231,4810.06,12237,102,21,13,4742.37,67.69,3029.96,38163,785,47.16,1.5875,15199.79
SV3363,A320,KHI,DOH,2025-01-09 06:12,2025-01-09 08:05,113,2456.64,14648,87,16,21,2406.48,50.16,1568.56,31469,829,28.24,1.5662,7762.98
EK7681,A320,DEL,DOH,2025-02-19 07:32,2025-02-19 10:43,191,3882.49,9613,177,9,22,3916.13,-33.64,2553.18,36755,802,21.93,1.5206,12268.67
SV1790,A320,DOH,KHI,2025-12-03 10:45,2025-12-03 12:33,108,2238.87,8683,164,21,23,2246.83,-7.96,1568.56,32667,869,13.65,1.4273,7074.83
MS3434,A320,CAI,JED,2025-12-21 21:23,2025-12-21 22:51,88,1900.33,10368,138,29,15,1863.68,36.65,1214.94,38881,827,13.77,1.5641,6005.04
MS7668,A320,DXB,IST,2025-03-15 17:37,2025-03-15 21:18,221,4369.03,9669,174,8,25,4516.69,-147.66,3029.96,34526,820,25.11,1.4419,13806.13
AI5521,A320,DEL,KHI,2025-01-25 17:37,2025-01-25 18:57,80,1752.6,14012,131,18,7,1740.12,12.48,1067.83,36797,799,13.38,1.6413,5538.22
AI7455,A320,CAI,DEL,2025-01-23 19:26,2025-01-24 01:01,335,6779.84,10649,139,19,5,6806.49,-26.65,4412.05,31579,790,48.78,1.5367,21424.29
QR7943,A320,JED,IST,2025-07-13 04:45,2025-07-13 07:28,163,3510.63,10565,103,15,25,3365.65,144.98,2383.55,34633,876,34.08,1.4729,11093.59
MS2598,A320,CAI,KHI,2025-03-18 11:31,2025-03-18 15:43,252,5065.55,14880,82,26,7,5188.8,-123.25,3565.44,35571,848,61.78,1.4207,16007.14
PK1195,A320,CAI,KHI,2025-05-05 17:34,2025-05-05 21:36,242,5098.85,14273,173,9,17,4982.73,116.12,3565.44,34374,882,29.47,1.4301,16112.37
TK1683,A320,JED,KHI,2025-12-23 00:43,2025-12-23 04:09,206,4107.89,16353,154,10,20,4283.53,-175.64,2882.63,31934,838,26.67,1.425,12980.93
EK7367,A320,IST,DOH,2025-02-28 08:57,2025-02-28 12:19,202,4074.77,15260,167,27,18,4192.6,-117.83,2756.39,34423,817,24.4,1.4783,12876.27
MS5947,A320,KHI,IST,2025-11-27 22:27,2025-11-28 03:14,287,5606.38,9552,111,10,15,5835.52,-229.14,3975.55,34006,831,50.51,1.4102,17716.16
PK5981,A320,DEL,IST,2025-03-04 18:14,2025-03-04 23:35,321,6441.14,16616,104,30,19,6586.16,-145.02,4573.44,31865,854,61.93,1.4084,20354.0
TK8199,A320,KHI,DOH,2025-08-08 17:46,2025-08-08 19:33,107,2366.23,14501,128,19,8,2285.01,81.22,1568.56,32301,876,18.49,1.5085,7477.29
MS2075,A320,CAI,JED,2025-08-05 03:10,2025-08-05 04:42,92,2012.37,11283,156,5,22,1952.83,59.54,1214.94,35512,785,12.9,1.6563,6359.09
MS2635,A320,IST,DEL,2025-08-28 19:44,2025-08-29 01:21,337,7136.69,17416,98,12,19,6914.16,222.53,4573.44,33203,814,72.82,1.5605,22551.94
